title,description,url,prep_time,cook_time,total_time,servings,ingredients,instructions,image_url,recipe_category,recipe_cuisine,keywords,calories,rating_value,rating_count,review_count
Colourful dumplings for Chinese New Year,"Appetizing and tasty, these colourful dumplings with pork and prawn filling make a perfect festive dish for family and friends.",https://redhousespice.com/colourful-dumplings/,50m,20m,130m,80 dumplings,"[For white wrappers] 150 g all-purpose flour ,75 ml water | [For green wrappers] 150 g all purpose flour ,200 g spinach ,200 ml water | [For orange wrappers] 150 g all purpose flour ,250 g carrot ,150 ml water | [For purple wrappers] 150 g all purpose flour ,200 g purple cabbage ,150 ml water | [For the filling] 400 g minced pork ,1 teaspoon salt ,½ teaspoon ground Sichuan pepper ,2 teaspoon light soy sauce ,½ teaspoon sesame oil ,2 teaspoon oyster sauce ,2 tablespoon scallions finely chopped ,1 teaspoon minced ginger ,200 g minced prawns ,160 g shiitake mushrooms, finely chopped 40g in dried form","[Prepare the green dye] 1) Bring water to a boil. Briefly blanch spinach then drain. Transfer to a food processor to puree. | 2) Use a fine sieve to extract 75 ml of spinach juice for the dough (add a little water if necessary). | 3) Set the leftover spinach aside. | [Prepare the orange dye] 1) Simmer sliced carrot in water for 5 minutes. Then transfer everything to a food processor. Blend until very smooth. | 2) Use a sieve to extract about 90g semi-liquid puree for the dough. | 3) Set the leftover carrot aside. | [Prepare the purple dye] 1) Simmer purple cabbage (cut into small pieces) in water for 5 minutes. | 2) Drain the cabbage to get 75 ml purple liquid for the dough. | [Make the dough] 1) Add water/green dye/orange dye/purple dye to the flour gradually. Mix until no more loose flour can be seen. Then combine and knead with your hand until smooth. | 2) Leave to rest covered for 40–60 minutes. | [Mix the filling] 1) Place pork in a mixing bowl. Add salt, Sichuan pepper, soy sauce, sesame oil, oyster sauce, scallions & ginger. | 2) Gradually add 5 tablespoons of the water in which the shiitake mushrooms have been soaked (or just water) to the meat while swirling in one direction until no more liquid can be seen. | 3) Add minced prawn, mushroom and 200g carrot puree, 150g spinach puree that was left from the last process. Mix well. | [Roll the wrappers] 1) Roll part of the dough into a rope then cut into small pieces (always keep the unused dough covered). | 2) Press each piece into a small disc. Then use a rolling pin to flatten it into a thin disc (Please refer to the video below). Dust with flour if the dough sticks. | [Assemble the dumplings] 1) Place a spoonful of filling in the middle of a wrapper. Seal the wrapper into the shapes of your choice (Please refer to the video below). You can learn other shapes in my post “ Ten ways to fold dumplings ”). | [Cooking method 1: Boiling] 1) Bring a pot of water to a full boil over a high heat. Gently slide in dumplings. Push them around with the back of a spoon to avoid sticking. Cover with a lid. | 2) When the water comes back to a full boil, add about 120 ml / 0.5 cup of cold water then cover. Repeat the procedure twice. When fully cooked, the dumplings should be plump and floating on the surface. | 3) Transfer the dumplings to a colander. Briefly run cold water over. Drain and serve immediately. | [Cooking method 2: Pan-frying] 1) Heat up a little oil (just enough to cover the surface of your pan) over a high heat. Place in dumplings. | 2) When the bottom part of the dumplings becomes golden brown, pour in cold water (enough to cover ⅓ of the dumplings). Cover with a lid. | 3) Uncover when the water evaporates completely. Cook another 30 seconds or so to crisp up. | [Cooking method 3: Steaming] 1) Place dumplings in the steamer basket (To avoid sticking: coat with oil/line with parchment paper/using carrot slices). | 2) Bring the water to a full boil, then place the basket in. Cook with lid on over a medium heat for around 10 minutes.",https://redhousespice.com/wp-content/uploads/2019/02/naturally-Coloured-dumplings.jpg,Main Course,Chinese,Dumplings,419 kcal,5.0,8.0,22.0
How to make great dumpling fillings,"Four tasty, moist fillings for homemade dumplings (including vegetarian and vegan versions). The video above the recipe card shows you two examples of how I prepare them.",https://redhousespice.com/dumpling-fillings/,20m,20m,20m,30 dumplings per recipe,"[For Pork Filling] 200 g minced pork 7oz ,½ teaspoon salt ,2 tablespoon scallions, finely chopped ,1 teaspoon minced ginger ,¼ teaspoon ground Sichuan pepper or Chinese five-spice powder ,1 teaspoon light soy sauce ,1 teaspoon oyster sauce ,½ teaspoon sesame oil ,5 tablespoon water / stock ,300 g celery, finely chopped 10oz ,2 tablespoon coriander, finely chopped | [For Chicken Filling] 100 g Shiitake mushrooms soaked & finely chopped, 3.5oz ,250 g minced chicken 9oz ,½ teaspoon salt ,1 pinch ground Sichuan pepper or Chinese five-spice powder ,1 teaspoon light soy sauce ,80 g water chestnut, finely chopped 3oz ,2 tablespoon cooking oil ,1 tablespoon scallions, finely chopped | [For Vegetarian Egg Filling] 2 tablespoon cooking oil ,4 eggs lightly beaten ,60 g Chinese chive, finely chopped 2oz ,60 g wood ear mushroom (soaked & finely chopped) 2oz ,½ teaspoon salt ,½ teaspoon sesame oil | [For Vegan Tofu Filling] 200 g soft tofu 7oz ,100 g pak choi 3.5oz ,½ teaspoon salt ,2 tablespoon cooking oil ,2 tablespoon scallions, finely chopped ,80 g carrot, grated 3oz ,100 g mung bean vermicelli, soaked & coarsely chopped 3.5oz ,1 pinch ground Sichuan pepper or white pepper ,½ teaspoon sesame oil","[For Pork Dumpling Filling] 1) Place pork in a mixing bowl. Add scallions, ginger, ¼ teaspoon salt, Sichuan pepper / five-spice, soy sauce, oyster sauce and sesame oil. | 2) Gradually add water to the meat while swirling in one direction until no more liquid can be seen. | 3) Add the remaining salt to the celery then leave to rest for 10 minutes. Squeeze out excess liquid then add to the meat. Mix well with coriander. | [For Chicken Dumpling Filling] 1) Soak shiitake mushrooms in water (ideally overnight) then chop into small pieces (remove the stem). | 2) Place chicken in a mixing bowl. Add salt, Sichuan pepper / five-spice and soy sauce. | 3) Gradually add 5 tablespoons of the water in which the mushrooms have been soaked to the meat while swirling in one direction until no more liquid can be seen. | 4) Add chopped mushrooms and water chestnut. Place scallions on top of the mixture. Pour hot oil over then mix well. | [For Egg Dumpling Filling (Vegetarian)] 1) Heat up oil in a wok / frying pan. Pour in the egg when the oil smokes. Dish out as soon as there is no more liquid. Coarsely chop when it cools down. | 2) Add Chinese chive, wood ear mushroom, salt and sesame oil. Mix well. | [For Tofu Dumpling Filling (Vegan)] 1) Blanch tofu in boiling water for 2 minutes. Drain and cut into small pieces. | 2) Briefly blanch pak choi then chop small. Add ¼ teaspoon salt. Leave to rest for 10 minutes then squeeze out excess liquid. | 3) Heat up oil in a wok / frying pan. Add scallions, carrot and the remaining salt. Fry until soft. | 4) Put all the ingredients into a bowl then mix well.",https://redhousespice.com/wp-content/uploads/2019/01/ingredients-for-dumpling-fillings.jpg,Main Course,Chinese,Dumplings,,5.0,54.0,109.0
Pan-fried vegetarian dumplings / potstickers (素煎饺),"Delectable on the palate and pleasing on the eyes, pan-fried vegetarian dumplings are filled with vegetables and resemble vegetables.",https://redhousespice.com/pan-fried-vegetarian-dumplings/,40m,10m,80m,40 dumplings,"[For the dough] 150 g spinach 5oz ,300 g all-purpose flour 2 ⅓ cups, plus extra for dusting | [For the filling] 200 g Pak Choi or Chinese cabbage ,60 g carrot ,5 dried Shiitake mushroom pre-soaked (see note 1) ,30 g dried mung bean vermicelli noodles pre-soaked ,1 egg ,1 stalk spring onion finely chopped ,½ teaspoon minced ginger ,1 pinch ground Sichuan pepper ,1 tablespoon cooking oil ,1 teaspoon salt | [You also need] Cooking oil for frying","[Prepare the spinach juice] 1) Briefly blanch spinach then transfer to a food processor to puree. | 2) Use a fine sieve to extract approximately 75 ml / 5 tablespoons of spinach juice (add anlittle water if necessary). Set the spinach puree aside for the filling. | [Make the dough in two colours] 1) Divide the flour into two equal portions. Add about 75 ml / 5 tablespoons of water to one portion of flour then knead to a white dough. | 2) Add the spinach juice to the other portion of flour to form a green dough. | 3) Leave to rest for at least 30 minutes (see note 2). | [Mix the filling] 1) Mince Pak Choi (Bok choy), carrot, Shiitake mushroom and mung bean vermicelli noodles (chop with a knife or use a food processor). | 2) Squeeze out the excess water from the vegetables with your hands. | 3) Stir in the spinach puree and egg. | 4) Place spring onion, ginger and ground Sichuan pepper on top of the mixture. Heat up the oil then pour it over the herbs and spice. | 5) Finally, add salt and mix(see note 3). | [Roll the wrappers] 1) Roll the white dough into two ropes. | 2) Flatten the green dough into two rectangle pieces (same length as the ropes) then wrap the white dough all round and seal well. | 3) Cut into about 40 equal sections. Press each piece into a small disc with the palm of your hand. | 4) Use a rolling pin to flatten it into a thin disc. Dust with flour if the dough sticks (Please refer to the video in the post). | [Shape the dumplings] 1) Place a spoonful of filling in the middle of a wrapper. | 2) Fold the wrapper, then seal it. You may do it any way you like. Make sure there is no leakage if you plan to boil (instead of frying) the dumplings. | [Fry the dumplings] 1) Coat a frying pan with oil and heat up over high heat. Place in the dumplings. | 2) When the bottom part becomes golden brown, pour in water (enough to cover ⅓ of the dumplings) then cover with a lid. | 3) Uncover when the water evaporates completely. Serve warm with a dipping sauce of your choice.",https://redhousespice.com/wp-content/uploads/2018/02/pan-fried-vegetarian-dumplings-with-bicolour-wrappers.jpg,Main Course,Chinese,Dumplings,381 kcal,5.0,11.0,39.0
Pork Dumpling with Napa Cabbage (猪肉白菜水饺),"Tasty and juicy filling wrapped with pleasantly chewy skin, Chinese pork dumpling with Napa cabbage is an absolute classic! Make-from-scratch instructions and a tutorial video are included.",https://redhousespice.com/pork-cabbage-dumpling/,50m,10m,90m,30 dumplings,"[For the wrappers] 250 g all-purpose flour/plain flour about 2 cups (see note 1) ,130 g water at room temperature ½ cup+2 teaspoon (see note 2) | [For the filling] ½ head Napa cabbage (aka Chinese cabbage) about 300g ,¼ teaspoon salt ,250 g minced pork about 9oz ,2 stalk scallions finely chopped ,1 teaspoon minced ginger ,2 tablespoon light soy sauce ,1 pinch ground Sichuan pepper or five-spice powder ,1 tablespoon dried shrimp soaked in 2 tablespoon water until soft (see note 3) ,½ tablespoon sesame oil | [For serving] Homemade chili oil ,Black rice vinegar","[Make the dough] 1) In a mixing bowl, add water to flour gradually. Mix with chopsticks/spatula until no more loose flour can be seen. Combine and knead into a dough. | 2) Leave to rest (covered) for 10 minutes then knead again until smooth. | 3) Cover and rest the dough again for 30-60 minutes until it becomes soft (Chinese cooks would say “as soft as an earlobe”). | 4) If using a machine : Add flour and water into the mixing bowl. Knead on low speed for 8 minutes or so until smooth. Cover and rest for 30-60 minutes. | [Mix the filling] 1) Cut Napa cabbage into thin slices then cut across again into tiny pieces. Put minced cabbage into a colander then add salt. Mix well and leave to rest for 10 mins or so (place the colander in a sink or over a plate to collect extracted water). | 2) Add minced pork, scallions, ginger, light soy sauce and ground Sichuan pepper to a mixing bowl. Mince rehydrated dried shrimp. Add it to the meat, along with the water in which it was soaked. Stir until the liquid is fully absorbed by the meat. | 3) Use your hands to squeeze the cabbage in batches to remove any water extracted by the salt. Then put into the bowl. Add sesame oil and mix to combine. | [Roll the wrappers] 1) Divide the dough into three parts. Roll one part into a rope then cut into 10 equal sections (cover the rest to avoid drying out). | 2) Press each piece into a small disc with the palm of your hand. Use a rolling pin to flatten it into a thin disc ( Please refer to the tutorial video below ). Dust with flour if it sticks. Repeat to finished the rest of the dough. | [Assemble the dumplings] 1) Place a spoonful of filling on the wrapper. Seal the wrapper using the technique you're most comfortable with. Please refer to the tutorial video below or the methods demonstrated in "" Ten Ways to Fold Dumplings "". | [Boil the dumplings] 1) Bring a pot of water to a full boil over high heat. Gently slide in the dumplings (cook in two batches if using a small pot). Push them around with the back of a spoon to avoid sticking. Cover with a lid. | 2) When the water comes back to a full boil, add about 120 ml (½ cup) of cold water then cover. | 3) Repeat the procedure another two times. When fully cooked, the dumplings should be plump and floating on the surface. | 4) Transfer the dumplings to a colander. Briefly rinse under tap water (make sure it’s drinkable water). Drain and serve immediately. | [Serve the dumplings] 1) Serve the dumplings warm with a mixture of homemade chili oil and black rice vinegar. Or read Six Dumpling Sauces for more inspirations. | [Freeze uncooked dumplings] 1) Place assembled, uncooked dumplings on a tray lined with parchment paper (or dusted with flour). Put into the freezer. | 2) Once completely frozen, transfer them into an airtight plastic bag/container. Use within three months. | [Cook frozen dumplings] 1) No need to defrost before cooking. Follow the boiling instructions explained above.",https://redhousespice.com/wp-content/uploads/2021/04/boiled-pork-cabbage-dumplings-1-scaled.jpg,Main Course,Chinese,"Chinese cabbage, Dim Sum, Dumplings",505 kcal,5.0,68.0,87.0
Wonton Soup (馄饨汤),"Tasty, juicy filling wrapped with slippery wrappers and served in an umami broth, this easy wonton soup makes a wonderful all-in-one meal.",https://redhousespice.com/pork-wonton-soup/,30m,6m,36m,4 servings,"[For the wontons] 300 g ground pork or chicken, shrimp, beef ,2 stalks scallions finely chopped ,1 teaspoon ginger minced ,1 tablespoon light soy sauce ,1 teaspoon Shaoxing wine ,¼ teaspoon salt ,1 pinch ground white pepper or ground Sichuan pepper , five-spice powder ,3 tablespoon chicken broth homemade or shop-bought (see note 1) ,40 pieces wonton wrappers homemade or shop-bought (see note 2) | [For the soup] 1 liter chicken broth homemade or shop-bought (see note 1) ,2 heads baby bok choy or other leafy greens ,Salt to taste ,Ground white pepper to taste ,Sesame oil to taste ,Scallions finely chopped ,Chili oil optional","[Mix the filling] 1) Add ground pork, scallions, ginger, light soy sauce, Shaoxing wine, salt, white pepper and 3 tablespoons of chicken stock to a mixing bowl. Swirl constantly to combine until the meat fully absorbs the liquid and becomes a sticky paste. | [Wrap the wontons] 1) With your fingertip, wet the edge of a wonton wrapper with a little water. Place some pork filling in the middle. Fold the wrapper into a rectangle. Press to seal the edge. From the folded side, wet one corner then place the other corner on top. Press to seal ( see video below ). | [Heat the broth] 1) In a saucepan, heat the chicken broth to a boiling point. Set aside for later use. | [Cook the wontons] 1) While the broth is heated, bring plenty of water in a separate pot/wok to a full boil. Gently put in the wontons. Move them around with a spoon to avoid sticking. You may need to cook them in batches (see note 3). | 2) When the wontons rise from the bottom and float on the surface, continue boiling for a further 1½ minutes or so. Put in bok choy and cook for another 20 seconds. | [Assemble the dish] 1) Add salt, ground white pepper and sesame oil to 4 serving bowls, then top up each one with the heated broth. | 2) Fish out the wontons and bok choy and put them to the bowls. Garnish with scallions and chili oil (if using). | [Make in advance] 1) You may freeze uncooked wontons right after they’re assembled (Do not leave them on the counter for too long). Lay them in a single layer on a tray lined with parchment paper. Once completely frozen, transfer them to airtight bags or containers. | 2) Cook frozen wontons: Do not defrost. Follow the same method above.",https://redhousespice.com/wp-content/uploads/2022/07/chinese-pork-wonton-in-soup.jpg,Main Course,Chinese,"easy wonton recipe, pork wonton, wonton, wonton recipe, wonton soup",453 kcal,5.0,69.0,120.0
Sichuan Spicy Wonton In Chili Oil (红油抄手),"Tender meat in slippery wrappers seasoned with a chili oil based sauce, Sichuan spicy wonton combines great flavour and texture. Follow my recipe to make it in 30 mins.",https://redhousespice.com/sichuan-spicy-wonton-in-chili-oil/,25m,5m,30m,4 servings,"[For the wontons] 2 stalks scallions ,1 tablespoon minced ginger ,80 ml warm water ,200 g minced pork or beef/chicken/turkey ,1 medium egg ,¼ teaspoon salt ,1 pinch ground white pepper ,40 wonton wrappers homemade or shop-bought | [For each portion of the sauce] 1 teaspoon minced garlic ,1 tablespoon light soy sauce ,1 teaspoon black rice vinegar ,¼ teaspoon ground Sichuan pepper see note 1 ,¼ teaspoon sugar ,2 tablespoon homemade chili oil or to taste, see note 2","[Mix the filling] 1) Finely chop the scallions. Put the white part into a bowl (keep the green part for garnishing the dish later). Add the ginger. Pour in the water. Leave to infuse for 5 mins. | 2) In another bowl, mix the minced meat, egg, salt and white pepper until well combined. | 3) Remove the scallions and ginger then pour the water into the meat in batches while stirring in one direction until the liquid is fully absorbed. | [Shape the wontons] 1) Lay a wonton wrapper on your hand. Dip the back of a spoon in water then use it to wet two neighbouring edges of the wrapper. | 2) Put the filling (about a teaspoon) in the middle. Fold the wrapper to form a triangle. Gently press to seal. | 3) Wet one of the sharp corners of the triangle. Put the other sharp corner over the wet corner. Press to stick two corners securely. Repeat to finish all the wrappers. | [Cook the wontons] 1) Bring a large pot of water to a full boil. Gently slide in the wontons. Cook over high heat. Push them around with a spoon to prevent sticking to the bottom (You may cook all 40 wontons at once or in two batches depending on the size of your cookware. They need to be able to move around with ample space). | 2) Once all the wontons rise to the surface, cook for a further minute. | [Assemble the dish] 1) While waiting for the wontons to cook, add all the ingredients for the sauce in each serving bowl. | 2) Use a slotted spoon to take out the wontons. Add them into serving bowls. | 3) Garnish with the green part of the scallions saved from step one. Mix well then serve immediately. | [Store the wontons] 1) Uncooked wontons freeze well. Lay them on a tray and keep in the freezer until fully frozen. Transfer to an airtight container/bag and put back to the freezer. Consume within 3 months. | [Cook frozen wontons] 1) Follow the same procedure to cook frozen wontons. Defrosting is unnecessary and not recommended.",https://redhousespice.com/wp-content/uploads/2020/12/a-bowl-of-spicy-wontons.jpg,Main Course,Chinese,"Dumplings, Sichuan, Spicy",348 kcal,4.99,80.0,102.0
"Century Eggs, the Myths and Recipe (Pi Dan, 皮蛋)","A classic Chinese salad combining century eggs, tofu and roasted pepper. The flavourful dressing can also be used in other dishes.",https://redhousespice.com/century-eggs/,4m,6m,10m,2 servings,"[Ingredients] 1 sweet pointed pepper see note 1 ,3 century eggs ,100 g silken tofu see note 2 ,1 stalk scallions, finely chopped | [For the sauce] 1 teaspoon minced ginger ,2 cloves garlic, minced ,½ tablespoon chili flakes ,¼ teaspoon ground Sichuan pepper see note 3 ,1 tablespoon neutral oil ,1½ tablespoon light soy sauce ,1½ tablespoon black rice vinegar","[Instructions] 1) Roast pepper in an empty pan/wok (Do not use non-stick cookware) over high heat. Flip from time to time until the skin wrinkles and charred spots appear (see note 4 for alternative methods). Scrape off the skin with a spoon. Slice the flesh of the pepper into thin strips. | 2) Peel century eggs then rinse briefly under running water. Cut into wedges. Place on a serving plate. | 3) Slice silken tofu into chunks then add to the plate. Top it with the pepper and scallions. | 4) Put ginger, garlic, chili flakes, Sichuan pepper in a bowl. Heat up oil then pour it over the spices. Add light soy sauce and black rice vinegar. Mix well. | 5) Pour the sauce over the egg, tofu and pepper. Serve as a salad for a multi-course meal with plain steamed rice.",https://redhousespice.com/wp-content/uploads/2021/01/century-egg-with-tofu-scaled.jpg,Appetizer,Chinese,"Eggs, Salad, Spicy",191 kcal,5.0,15.0,23.0
Chinese Chive and Egg Stir-Fry (韭菜炒鸡蛋),"Incredibly simple to make yet wonderfully flavorful, Chinese chive and egg stir-fry is a classic homey dish that everyone should try.",https://redhousespice.com/chinese-chive-egg/,2m,2m,4m,2 servings,"[Ingredients] 4 oz Chinese chives aka garlic chives ,4 eggs ,¼ teaspoon salt or to taste ,2 tablespoon neutral cooking oil","[Instructions] 1) Wash Chinese chives thoroughly, then shake off any excess water. Cut them into 1-inch (2.5 cm) long sections. | 2) In a big bowl, lightly beat the eggs until the yolks are well incorporated with the whites. Add the chives and salt to the eggs. Stir to mix well. | 3) Heat oil in a wok, or a skillet, over high heat until slightly smoking. Swirl the oil to coat a larger area, then pour in the chive and egg mixture. | 4) Let the eggs puff up undisturbed. As soon as the bottom part turns solid, push the block to the side of the wok, allowing the runny mixture to flow to the center to cook. | 5) When most of the mixture has solidified, toss and break any large lumps into bite-sized pieces, then transfer the dish out immediately.",https://redhousespice.com/wp-content/uploads/2024/03/Chinese-chive-egg-stir-fry-scaled.jpg,Main Course,Chinese,chive and egg,258 kcal,4.84,6.0,8.0
"Egg Drop Soup, The Classic Version (蛋花汤)","A simple, tasty dish using common ingredients, Chinese egg drop soup only takes a few minutes to cook. Learn pro tips to make it to perfection.",https://redhousespice.com/classic-egg-drop-soup/,2m,3m,5m,4 servings,"[Ingredients] 3 large eggs ,4 cups chicken broth or vegetable broth (see note 1) ,Salt to taste ,Ground white pepper to taste ,¼ teaspoon sesame oil ,3 tablespoon cornstarch ,1 stalk scallions finely chopped","[Instructions] 1) Crack the eggs then add 2 tablespoons of water. Beat lightly until the whites and yolks are fully integrated. Set aside. | 2) Pour the broth into a saucepan/pot. Bring it to a full boil then turn the heat down to a gentle simmer. | 3) Season the broth with salt, white pepper, and sesame oil. Taste to adjust. | 4) In a small bowl, mix cornstarch with 6 tablespoons of water until combined (make sure no starch sinks to the bottom). Gradually pour it into the broth while stirring with a spoon. | 5) Turn the heat to the lowest so the broth is at a bare simmer. Pour the beaten eggs in a thin stream while slowly swirling with the spoon. | 6) Transfer the soup to individual bowls. Garnish with scallions and serve immediately.",https://redhousespice.com/wp-content/uploads/2022/10/egg-drop-soup-with-scallions-scaled.jpg,Soup,Chinese,"chinese egg soup, egg drop soup, Egg flower soup",94 kcal,4.99,124.0,157.0
Tomato Egg Drop Soup (番茄蛋汤),"Neither chicken stock nor corn starch is required, Chinese tomato egg drop soup is a tasty, healthy dish that can be made in 10 minutes.",https://redhousespice.com/egg-drop-soup/,5m,5m,10m,4 servings,"[Ingredients] 3 medium ripe tomatoes ,2 eggs ,1 tablespoon cooking oil ,1 stalk scallions finely chopped ,1 teaspoon papery dried shrimp optional ,4 cups water ,½ teaspoon salt ,1 pinch ground white pepper ,¼ teaspoon sesame oil ,Coriander chopped","[Instructions] 1) Cut a cross on each tomato (opposite the stem). Leave them in hot water (just boiled) for 1-2 minutes. Take out and peel the skin off from the cross-cut. Then dice them into small cubes (see note). | 2) Crack the eggs into a bowl. Add 1 tablespoon of water. Whisk until smooth. | 3) Heat up the oil over high heat in a pot/wok. Fry scallions and papery dried shrimp until fragrant. | 4) Stir in the tomato pieces. Leave to cook until they become a little mushy. Pour in water then cover with a lid. | 5) When the water begins to boil, turn the heat down. Uncover and slowly pour in the egg. Swirl around with a spoon. | 6) Add salt, ground white pepper & sesame oil. Sprinkle over the chopped coriander.",https://redhousespice.com/wp-content/uploads/2018/12/chinese-tomato-egg-soup.jpg,Soup,Chinese,"chinese egg soup, tomato egg soup",82 kcal,5.0,18.0,39.0
"Egg Foo Young (Chinese Omelette, 芙蓉蛋)","An easy-to-follow egg foo young recipe which includes the formula for the classic gravy, as well as a tasty alternative way to season.",https://redhousespice.com/egg-foo-young/,10m,10m,20m,4 servings,"[For the gravy] 1 tablespoon oyster sauce ,1 tablespoon light soy sauce ,½ teaspoon dark soy sauce ,½ teaspoon sesame oil ,1 tablespoon cornstarch ,1 pinch ground white pepper ,1 pinch garlic powder optional ,1 pinch sugar ,240 ml water, or unsalted stock about 1 cup | [For the egg mixture] 6 eggs ,50 g shrimp (raw), diced about ⅓ cup (see note 1) ,50 g chicken (precooked), diced about ⅓ cup (see note 1) ,50 g bean sprouts about ½ cup ,30 g carrot, grated about ⅓ cup ,30 g scallions, finely chopped about ⅓ cup ,⅛ teaspoon salt ,Neutral cooking oil | [Alternative seasoning (substitute for the gravy)] Sweet soy sauce, or light soy sauce to taste ,homemade chilli oil to taste | [For garnishing] Scallions, finely chopped ,Toasted sesame seeds","[Prepare the gravy (skip this step if using alternative seasonings)] 1) In a small saucepan, mix oyster sauce, light and dark soy sauce, sesame oil, cornstarch, white pepper, garlic powder and sugar with room temperature water (or unsalted stock). | 2) Bring it to a boil then leave to simmer over low heat until it becomes just thick enough to coat the spoon (Do not overcook as the sauce will thicken further as it cools). | [Cook the egg mixture] 1) In a mixing bowl, lightly beat eggs. Then add shrimp, chicken, bean sprouts, carrot, scallions and salt. Mix well. | 2) Heat an empty wok over high heat until smoking hot (see note 2). Pour in oil (just enough to cover the bottom of the wok). Swirl to cover a bigger perimeter. Add ¼ part of the egg mixture. | 3) Turn the heat to medium-low and leave to fry. Once the bottom side becomes golden brown, flip to fry the other side. Repeat to cook the rest of the mixture. | [Garnish and serve] 1) Place the cooked egg foo young over steamed rice . Pour the gravy over. Alternatively, use soy sauce and chilli oil to season. Garnish with scallions and sesame seeds.",https://redhousespice.com/wp-content/uploads/2022/03/egg-foo-young-with-gravy-scaled.jpg,Main Course,Chinese,Eggs,232 kcal,4.98,45.0,58.0
Egg fried rice noodles (鸡蛋炒米粉),"Simple ingredients, great flavour. This egg fried rice noodles is quick to prepare using the easy Chinese dressing formula.",https://redhousespice.com/egg-fried-rice-noodles/,5m,5m,10m,2 servings,"[For stir-frying] 160 g dry rice noodles 5.6oz ,2 tablespoon vegetable oil ,2 egg, beaten ,1 onion, sliced ,2 clove garlic, crushed ,2 handful baby spinach ,2 teaspoon fresh chilli, finely chopped | [For seasoning] 2 teaspoon light soy sauce ,4 teaspoon black rice vinegar ,1 teaspoon sesame oil ,¼ teaspoon salt ,¼ teaspoon sugar ,2 teaspoon Chinese chilli oil or to taste","[Prepare the noodles] 1) Soak dry rice noodles in boiling water for the amount of time recommended for stir-fries (read instructions on the package. It varies depends on the brand). | 2) Rinse under cold water then leave the noodles in a bowl of cold water. Cut them into shorter strips with scissors. | [Mix the sauce] 1) Mix all the ingredients for seasoning. Set aside. | [Stir fry] 1) Heat up oil in a wok (or a deep frying pan) over high heat until it smokes. Pour in the beaten egg. Break it into small pieces with a spatula. | 2) As soon as the egg is cooked, add onion & garlic. fry for 30 seconds or so. | 3) Take rice noodles out of the water and put directly into the wok. | 4) Add the seasoning prepared earlier. Stir fry constantly until the noodles are evenly heated. | 5) Stir in baby spinach and fresh chilli. Turn off the heat immediately once the spinach wilts.",https://redhousespice.com/wp-content/uploads/2017/02/Egg-fried-rice-noodles-recipe-card.jpg,Main Course,Chinese,"Eggs, Noodles",506 kcal,5.0,19.0,41.0
Egg and Pickled Chili Stir-fry (剁椒鸡蛋),"A classic dish from Hunan cuisine, egg and pickled chili stir-fry is a simple, exciting and delectable way to cook eggs.",https://redhousespice.com/egg-pickled-chili-stir-fry/,3m,5m,8m,2 servings,"[Ingredients] 5 eggs ,2 tablespoon water ,2½ tablespoon neutral cooking oil, or lard divided ,2 tablespoon pickled chili garlic sauce or to taste (see note 1) ,1 tablespoon minced garlic ,1 teaspoon fermented black beans optional (see note 2) ,20 g fresh chili pepper cut into sections","[Instructions] 1) Crack eggs into a bowl. Add water and beat until the yolk and white are fully combined. | 2) Heat up 2 tablespoons of oil in a wok/frying pan. Pour in the egg when the oil is very hot. Push around with a spatula to cook the egg evenly. Then break it into smaller pieces. Dish out as soon as no runny part is left. | 3) Add the remaining ½ tablespoon of oil to the wok/frying pan. Stir in pickled chili garlic sauce, garlic, and fermented black beans. Fry until fragrant. | 4) Put in the green chili and cooked egg. Stir fry for another 10 seconds to evenly distribute the ingredients. Dish out and serve immediately with steamed rice.",https://redhousespice.com/wp-content/uploads/2021/08/Egg-and-pickled-chili-stir-fry.jpg,Main Course,Chinese,"Eggs, Hunan, Stir-fry",304 kcal,5.0,7.0,13.0
Omelette with homegrown garlic sprouts,Don’t discard sprouted garlic! Grow them in water instead. Homegrown garlic sprouts add great flavour to omelette.,https://redhousespice.com/grow-garlic-sprouts/,2m,3m,5m,2 servings,"[Ingredients] 2 eggs ,A handful garlic sprouts chopped ,A pinch salt ,2 teaspoon water ,1 teaspoon cooking oil","[Instructions] 1) Put eggs, garlic sprouts, salt and water into a bowl. Beat until the egg white and yolk are well combined. | 2) Heat up the oil in a non-stick frying pan over a medium high heat. Pour in the egg mixture. Give it a good swirl. | 3) Turn the omelette over when the first side becomes golden brown. Cook until the other side is done.",https://redhousespice.com/wp-content/uploads/2017/03/omelette-with-home-grown-garlic-sprouts.jpg,Side Dish,Chinese,"Eggs, Vegetables, Vegetarian",,5.0,6.0,17.0
